Initializing I2C devices...									
Testing device connections...									
ax	ay	az			0		INC_ax	INC_ay	INC_az
-90	-14	1120	1	-			-23	-16	-58
-113	-30	1062	1	-			23	-25	-38
-90	-55	1024	1	-			-34	-19	-26
-124	-74	998	1	-			-17	-12	-64
-141	-86	934	1	-			-15	-2	-2
-156	-88	932	1	-			-8	-1	-20
-164	-89	912	1	-			-12	-6	-41
-176	-95	871	1	-			-10	11	-15
-186	-84	856	1	-			14	18	-30
-172	-66	826	1	-			-38	-13	5
-210	-79	831	1	-			5	-7	-79
-205	-86	752	1	-			-20	26	39
-225	-60	791	1	-			-1	12	102
-226	-48	893	1	-			-4	-19	107
-230	-67	1000	1	-			-46	14	73
-276	-53	1073	1	-			-2365	-6215	7292
-2641	-6268	8365	2	Z-			2213	4861	-9759
-428	-1407	-1394	2	-			2238	1348	22467
